HomeTeam,AwayTeam,Penalties,Date,Time,Year,Home Team Goals,Away Team Goals,Total Goals Scored
England,Paraguay,[],18 June 1986,12:00,1986,3,0,3
Denmark,Spain,[],18 June 1986,16:00,1986,1,5,6
Brazil,France,['3–4'],21 June 1986,12:00,1986,1,1,2
West Germany,Mexico,['4–1'],21 June 1986,16:00,1986,0,0,0
Argentina,England,[],22 June 1986,12:00,1986,2,1,3
Spain,Belgium,['4–5'],22 June 1986,16:00,1986,1,1,2
France,West Germany,[],25 June 1986,12:00,1986,0,2,2
Argentina,Belgium,[],25 June 1986,16:00,1986,2,0,2
Belgium,France,[],28 June 1986,12:00,1986,2,4,6
Denmark,Uruguay,[],8 June 1986,16:00,1986,6,1,7
Italy,France,[],17 June 1986,12:00,1986,0,2,2
West Germany,Scotland,[],8 June 1986,12:00,1986,2,1,3
Poland,Portugal,[],7 June 1986,16:00,1986,1,0,1
Uruguay,West Germany,[],4 June 1986,12:00,1986,1,1,2
Bulgaria,Italy,[],31 May 1986,12:00,1986,1,1,2
Argentina,South Korea,[],2 June 1986,12:00,1986,3,1,4
Italy,Argentina,[],5 June 1986,12:00,1986,1,1,2
South Korea,Bulgaria,[],5 June 1986,16:00,1986,1,1,2
South Korea,Italy,[],10 June 1986,12:00,1986,2,3,5
Argentina,Bulgaria,[],10 June 1986,12:00,1986,2,0,2
Belgium,Mexico,[],3 June 1986,12:00,1986,1,2,3
Paraguay,Iraq,[],4 June 1986,12:00,1986,1,0,1
Iraq,Belgium,[],8 June 1986,12:00,1986,1,2,3
Paraguay,Belgium,[],11 June 1986,12:00,1986,2,2,4
Iraq,Mexico,[],11 June 1986,12:00,1986,0,1,1
Mexico,Paraguay,[],7 June 1986,12:00,1986,1,1,2
Soviet Union,Hungary,[],2 June 1986,12:00,1986,6,0,6
Algeria,Spain,[],12 June 1986,12:00,1986,0,3,3
Canada,France,[],1 June 1986,16:00,1986,0,1,1
Northern Ireland,Spain,[],7 June 1986,12:00,1986,1,2,3
Brazil,Algeria,[],6 June 1986,12:00,1986,1,0,1
Algeria,Northern Ireland,[],3 June 1986,12:00,1986,1,1,2
Northern Ireland,Brazil,[],12 June 1986,12:00,1986,0,3,3
Soviet Union,Canada,[],9 June 1986,12:00,1986,2,0,2
Hungary,France,[],9 June 1986,12:00,1986,0,3,3
Hungary,Canada,[],6 June 1986,12:00,1986,2,0,2
France,Soviet Union,[],5 June 1986,12:00,1986,1,1,2
Spain,Brazil,[],1 June 1986,12:00,1986,0,1,1
Scotland,Denmark,[],4 June 1986,16:00,1986,0,1,1
Argentina,Yugoslavia,['3–2'],30 June 1990,17:00,1990,0,0,0
West Germany,Argentina,[],8 July 1990,20:00,1990,1,0,1
Italy,England,[],7 July 1990,20:00,1990,2,1,3
West Germany,England,['4–3'],4 July 1990,20:00,1990,1,1,2
Argentina,Italy,['4–3'],3 July 1990,20:00,1990,1,1,2
Cameroon,England,[],1 July 1990,21:00,1990,2,3,5
Czechoslovakia,West Germany,[],1 July 1990,17:00,1990,0,1,1
Republic of Ireland,Italy,[],30 June 1990,21:00,1990,0,1,1
England,Belgium,[],26 June 1990,21:00,1990,1,0,1
Italy,Uruguay,[],25 June 1990,21:00,1990,2,0,2
Republic of Ireland,Romania,['5–4'],25 June 1990,17:00,1990,0,0,0
West Germany,Netherlands,[],24 June 1990,21:00,1990,2,1,3
