HomeTeam,Score,AwayTeam,Penalties,Date,Time,Year
Spain ,1–1 (a.e.t.), Belgium,['4–5'],22 June 1986,16:00,1986
France ,0–2, West Germany,[],25 June 1986,12:00,1986
Argentina ,2–0, Belgium,[],25 June 1986,16:00,1986
Belgium ,2–4 (a.e.t.), France,[],28 June 1986,12:00,1986
Argentina ,3–2, West Germany,[],29 June 1986,12:00,1986
Cameroon ,2–1 (a.e.t.), Colombia,[],23 June 1990,17:00,1990
Czechoslovakia ,4–1, Costa Rica,[],23 June 1990,21:00,1990
Brazil ,0–1, Argentina,[],24 June 1990,17:00,1990
West Germany ,2–1, Netherlands,[],24 June 1990,21:00,1990
Republic of Ireland ,0–0 (a.e.t.), Romania,['5–4'],25 June 1990,17:00,1990
Italy ,2–0, Uruguay,[],25 June 1990,21:00,1990
Spain ,1–2 (a.e.t.), Yugoslavia,[],26 June 1990,17:00,1990
England ,1–0 (a.e.t.), Belgium,[],26 June 1990,21:00,1990
Argentina ,0–0 (a.e.t.), Yugoslavia,['3–2'],30 June 1990,17:00,1990
Republic of Ireland ,0–1, Italy,[],30 June 1990,21:00,1990
Czechoslovakia ,0–1, West Germany,[],1 July 1990,17:00,1990
Cameroon ,2–3 (a.e.t.), England,[],1 July 1990,21:00,1990
Argentina ,1–1 (a.e.t.), Italy,['4–3'],3 July 1990,20:00,1990
West Germany ,1–1 (a.e.t.), England,['4–3'],4 July 1990,20:00,1990
Italy ,2–1, England,[],7 July 1990,20:00,1990
West Germany ,1–0, Argentina,[],8 July 1990,20:00,1990
United States ,1–1,  Switzerland,[], , ,1994
Colombia ,1–3, Romania,[], , ,1994
Romania ,1–4,  Switzerland,[], , ,1994
United States ,2–1, Colombia,[], , ,1994
Switzerland ,0–2, Colombia,[], , ,1994
United States ,0–1, Romania,[], , ,1994
Cameroon ,2–2, Sweden,[], , ,1994
